type	review
1	Jus finish bathing...
1	alright, I'll make sure the car is back tonight
0	URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only
0	Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688
1	Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.
1	Aight ill get on fb in a couple minutes
1	Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.
1	Where can download clear movies. Dvd copies.
1	Yep, by the pretty sculpture
1	Convey my regards to him
1	Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
1	You tell what happen dont behave like this to me. Ok no need to say
1	Can u get pic msgs to your phone?
1	Send to someone else :-)
1	Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
1	For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..
1	FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)
1	I don't think he has spatula hands!
1	You can never do NOTHING
0	You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99
1	Goodmorning today i am late for  &lt;DECIMAL&gt; min.
0	WIN URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm 
1	Please da call me any mistake from my side sorry da. Pls da goto doctor.
1	Where r we meeting?
1	Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home.
1	Now only i reached home. . . I am very tired now. . I will come tomorro
1	Ryder unsold.now gibbs.
0	Dear Subscriber ur draw 4 £100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062
1	Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.
1	NO GIFTS!! You trying to get me to throw myself off a cliff or something?
1	Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.
1	You busy or can I come by at some point and figure out what we're doing tomorrow
1	Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary
1	Black shirt n blue jeans... I thk i c ü...
1	Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.
0	Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you
1	on hen night. Going with a swing
1	Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*
1	From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke
1	No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-)
1	S s..first time..dhoni rocks...
1	Ok ill tell the company
1	Awesome, think we can get an 8th at usf some time tonight?
1	So that means you still think of teju
1	No I'm good for the movie, is it ok if I leave in an hourish?
1	No no:)this is kallis home ground.amla home town is durban:)
1	So lets make it saturday or monday as per convenience.
1	Hey... What time is your driving on fri? We go for evaluation on fri?
0	449050000301 You have won a £2,000 price! To claim, call 09050000301.
1	I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.
0	Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16
1	Cancel cheyyamo?and get some money back?
0	Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow
1	Ok.ok ok..then..whats ur todays plan
1	Good morning princess! How are you?
1	Aiyar sorry lor forgot 2 tell u...
0	For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p
1	Not tonight mate. Catching up on some sleep. This is my new number by the way. 
1	Height of "Oh shit....!!" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay,.;-):-D
0	Ur HMV Quiz cash-balance is currently £500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg
1	So check your errors and if you had difficulties, do correction.
1	Howz pain?hope u r fine..
1	Sorry, I'll call later
1	Good morning princess! How are you?
1	As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.
1	U wake up already? Thanx 4 e tau sar piah it's quite nice.
1	K do I need a login or anything
0	Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.
1	LOL ... No just was busy
1	What * u wearing?
1	Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
1	Oh:)as usual vijay film or its different?
0	I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
1	Have you had a good day? Mine was really busy are you up to much tomorrow night?
1	And is there a way you can send shade's stuff to her. And she has been wonderful too.
